,traffic_x,traffic_y,traffic_x_km,traffic_y_km,traffic_area,place_name
29,-80.97009990987205,46.46273015982645,-9013.672492066866,5157.363047740736,1127.5975960686305,Greater Sudbury
30,-81.00750917521215,46.48694434966616,-9017.836928893792,5160.050822812944,1089.9788069265048,Greater Sudbury
31,-80.9947568118579,46.49247678081565,-9016.417323052832,5160.664922670538,1053.085892445586,Greater Sudbury
32,-80.99474832102547,46.49285118272161,-9016.416377844876,5160.706481282098,994.4170265135874,Greater Sudbury
33,-81.0755937000118,46.4742405956773,-9025.416166279012,5158.640706120181,603.1269920996727,Greater Sudbury
34,-80.99003469999916,46.48765804580788,-9015.891652838605,5160.130043084675,548.3805458214882,Greater Sudbury
35,-80.98403377898626,46.485425352005315,-9015.223624310529,5159.88221407259,513.6016505287171,Greater Sudbury
36,-80.98663715984691,46.49244279036671,-9015.513435271318,5160.661149730705,497.9258004591792,Greater Sudbury
37,-80.96730848551456,46.46543659865344,-9013.361747915967,5157.663462450532,477.36269551554756,Greater Sudbury
38,-80.97503430022545,46.46649980047718,-9014.221793335397,5157.781477852967,433.03287855067623,Greater Sudbury
39,-80.97408364999687,46.43666084580972,-9014.115966001302,5154.469353884879,418.3529019731515,Greater Sudbury
40,-80.99267146305378,46.49255027924656,-9016.18517993861,5160.673080996368,404.72438880599816,Greater Sudbury
41,-80.79334925,46.486654745794425,-8993.99643185925,5160.018676783181,403.51752579974897,Greater Sudbury
42,-80.9879788750885,46.50409725070523,-9015.662796353727,5161.954794828281,391.0622288598813,Greater Sudbury
43,-80.97480869999957,46.436408195721164,-9014.196679292652,5154.441309725049,368.0524037088262,Greater Sudbury
44,-80.99489301803419,46.49719779783953,-9016.432485660584,5161.188955560188,345.04520315279166,Greater Sudbury
45,-80.9874479,46.5036320457596,-9015.6036876759,5161.903157079316,338.7091804935301,Greater Sudbury
46,-80.97554123514263,46.466609067179114,-9014.278225837312,5157.793606456881,260.38853684897356,Greater Sudbury
47,-81.06419403333332,46.47325456191691,-9024.1471439847,5158.531256372777,237.56852070871747,Greater Sudbury
48,-81.13386729999944,46.593986245853664,-9031.903241703238,5171.932473289757,224.3037018680204,Greater Sudbury
49,-81.00655424999994,46.50257629582995,-9017.730625664242,5161.7859688371245,221.07712424186974,Greater Sudbury
50,-81.10650414156845,46.551417521788764,-9028.857147543542,5167.207344918553,122.0250339173411,Greater Sudbury
51,-80.93489860000025,46.490817545813314,-9009.753847050628,5160.480747585278,119.59287630663835,Greater Sudbury
52,-81.00501427538049,46.50254224334081,-9017.559194149631,5161.78218901083,70.11155025438067,Greater Sudbury
53,-79.25707460000719,46.385599595757604,-8822.9768015474,5148.801555129094,268.66826373879786,North Bay
54,-79.39962604999191,46.331746645748105,-8838.845771511149,5142.82387767804,224.61089298854233,North Bay
