Step,AgentID,pos,cars_passing
74,4,"(0.0, 10.0)",2
74,5,"(2.5, 0.0)",12
74,6,"(2.5, 2.5)",122
74,7,"(2.5, 5.0)",130
74,8,"(2.5, 7.5)",124
74,9,"(2.5, 10.0)",10
74,10,"(5.0, 0.0)",74
74,11,"(5.0, 2.5)",148
74,12,"(5.0, 5.0)",188
74,13,"(5.0, 7.5)",149
74,14,"(5.0, 10.0)",90
74,15,"(7.5, 0.0)",8
74,16,"(7.5, 2.5)",124
74,17,"(7.5, 5.0)",138
74,18,"(7.5, 7.5)",124
74,19,"(7.5, 10.0)",11
74,20,"(10.0, 0.0)",2
74,21,"(10.0, 2.5)",12
74,22,"(10.0, 5.0)",81
74,23,"(10.0, 7.5)",9
74,24,"(10.0, 10.0)",2
75,0,"(0.0, 0.0)",2
75,1,"(0.0, 2.5)",9
75,2,"(0.0, 5.0)",65
75,3,"(0.0, 7.5)",6
75,4,"(0.0, 10.0)",4
75,5,"(2.5, 0.0)",13
75,6,"(2.5, 2.5)",127
75,7,"(2.5, 5.0)",147
75,8,"(2.5, 7.5)",127
75,9,"(2.5, 10.0)",9
75,10,"(5.0, 0.0)",77
75,11,"(5.0, 2.5)",151
75,12,"(5.0, 5.0)",214
75,13,"(5.0, 7.5)",165
75,14,"(5.0, 10.0)",87
75,15,"(7.5, 0.0)",8
75,16,"(7.5, 2.5)",131
75,17,"(7.5, 5.0)",146
75,18,"(7.5, 7.5)",126
75,19,"(7.5, 10.0)",15
75,20,"(10.0, 0.0)",4
75,21,"(10.0, 2.5)",12
75,22,"(10.0, 5.0)",83
75,23,"(10.0, 7.5)",9
75,24,"(10.0, 10.0)",5
76,0,"(0.0, 0.0)",4
76,1,"(0.0, 2.5)",10
76,2,"(0.0, 5.0)",48
76,3,"(0.0, 7.5)",14
76,4,"(0.0, 10.0)",4
76,5,"(2.5, 0.0)",17
76,6,"(2.5, 2.5)",129
76,7,"(2.5, 5.0)",144
76,8,"(2.5, 7.5)",139
76,9,"(2.5, 10.0)",11
76,10,"(5.0, 0.0)",59
76,11,"(5.0, 2.5)",147
76,12,"(5.0, 5.0)",205
76,13,"(5.0, 7.5)",174
76,14,"(5.0, 10.0)",72
76,15,"(7.5, 0.0)",17
76,16,"(7.5, 2.5)",130
76,17,"(7.5, 5.0)",151
76,18,"(7.5, 7.5)",129
76,19,"(7.5, 10.0)",15
76,20,"(10.0, 0.0)",5
76,21,"(10.0, 2.5)",13
76,22,"(10.0, 5.0)",65
76,23,"(10.0, 7.5)",10
76,24,"(10.0, 10.0)",2
77,0,"(0.0, 0.0)",6
77,1,"(0.0, 2.5)",15
77,2,"(0.0, 5.0)",52
77,3,"(0.0, 7.5)",13
77,4,"(0.0, 10.0)",4
77,5,"(2.5, 0.0)",18
77,6,"(2.5, 2.5)",134
77,7,"(2.5, 5.0)",166
77,8,"(2.5, 7.5)",145
77,9,"(2.5, 10.0)",20
77,10,"(5.0, 0.0)",65
77,11,"(5.0, 2.5)",158
77,12,"(5.0, 5.0)",227
77,13,"(5.0, 7.5)",168
77,14,"(5.0, 10.0)",76
77,15,"(7.5, 0.0)",20
77,16,"(7.5, 2.5)",135
77,17,"(7.5, 5.0)",162
77,18,"(7.5, 7.5)",124
77,19,"(7.5, 10.0)",25
77,20,"(10.0, 0.0)",3
77,21,"(10.0, 2.5)",12
77,22,"(10.0, 5.0)",70
77,23,"(10.0, 7.5)",16
77,24,"(10.0, 10.0)",4
78,0,"(0.0, 0.0)",8
78,1,"(0.0, 2.5)",26
78,2,"(0.0, 5.0)",48
78,3,"(0.0, 7.5)",20
78,4,"(0.0, 10.0)",4
78,5,"(2.5, 0.0)",23
78,6,"(2.5, 2.5)",126
78,7,"(2.5, 5.0)",177
78,8,"(2.5, 7.5)",142
78,9,"(2.5, 10.0)",26
78,10,"(5.0, 0.0)",57
78,11,"(5.0, 2.5)",153
78,12,"(5.0, 5.0)",212
78,13,"(5.0, 7.5)",166
78,14,"(5.0, 10.0)",64
78,15,"(7.5, 0.0)",28
78,16,"(7.5, 2.5)",150
78,17,"(7.5, 5.0)",161
78,18,"(7.5, 7.5)",126
78,19,"(7.5, 10.0)",29
78,20,"(10.0, 0.0)",2
78,21,"(10.0, 2.5)",14
78,22,"(10.0, 5.0)",55
78,23,"(10.0, 7.5)",15
78,24,"(10.0, 10.0)",3
79,0,"(0.0, 0.0)",10
79,1,"(0.0, 2.5)",27
79,2,"(0.0, 5.0)",60
79,3,"(0.0, 7.5)",21
79,4,"(0.0, 10.0)",9
79,5,"(2.5, 0.0)",21
79,6,"(2.5, 2.5)",136
79,7,"(2.5, 5.0)",176
79,8,"(2.5, 7.5)",140
79,9,"(2.5, 10.0)",29
79,10,"(5.0, 0.0)",62
79,11,"(5.0, 2.5)",167
79,12,"(5.0, 5.0)",219
79,13,"(5.0, 7.5)",171
79,14,"(5.0, 10.0)",64
79,15,"(7.5, 0.0)",29
79,16,"(7.5, 2.5)",155
79,17,"(7.5, 5.0)",171
79,18,"(7.5, 7.5)",134
79,19,"(7.5, 10.0)",33
79,20,"(10.0, 0.0)",4
79,21,"(10.0, 2.5)",14
79,22,"(10.0, 5.0)",60
79,23,"(10.0, 7.5)",18
79,24,"(10.0, 10.0)",5
80,0,"(0.0, 0.0)",6
80,1,"(0.0, 2.5)",23
80,2,"(0.0, 5.0)",57
80,3,"(0.0, 7.5)",17
80,4,"(0.0, 10.0)",8
80,5,"(2.5, 0.0)",16
80,6,"(2.5, 2.5)",133
80,7,"(2.5, 5.0)",169
80,8,"(2.5, 7.5)",133
80,9,"(2.5, 10.0)",36
80,10,"(5.0, 0.0)",62
80,11,"(5.0, 2.5)",170
80,12,"(5.0, 5.0)",212
80,13,"(5.0, 7.5)",158
80,14,"(5.0, 10.0)",56
80,15,"(7.5, 0.0)",34
80,16,"(7.5, 2.5)",152
80,17,"(7.5, 5.0)",155
80,18,"(7.5, 7.5)",149
80,19,"(7.5, 10.0)",30
80,20,"(10.0, 0.0)",6
80,21,"(10.0, 2.5)",24
80,22,"(10.0, 5.0)",52
80,23,"(10.0, 7.5)",24
80,24,"(10.0, 10.0)",8
81,0,"(0.0, 0.0)",5
81,1,"(0.0, 2.5)",30
81,2,"(0.0, 5.0)",70
81,3,"(0.0, 7.5)",22
81,4,"(0.0, 10.0)",11
81,5,"(2.5, 0.0)",20
81,6,"(2.5, 2.5)",129
81,7,"(2.5, 5.0)",159
81,8,"(2.5, 7.5)",132
81,9,"(2.5, 10.0)",29
81,10,"(5.0, 0.0)",70
81,11,"(5.0, 2.5)",165
81,12,"(5.0, 5.0)",220
81,13,"(5.0, 7.5)",161
81,14,"(5.0, 10.0)",60
81,15,"(7.5, 0.0)",32
81,16,"(7.5, 2.5)",143
81,17,"(7.5, 5.0)",160
81,18,"(7.5, 7.5)",143
81,19,"(7.5, 10.0)",31
81,20,"(10.0, 0.0)",6
81,21,"(10.0, 2.5)",27
81,22,"(10.0, 5.0)",57
81,23,"(10.0, 7.5)",25
81,24,"(10.0, 10.0)",9
82,0,"(0.0, 0.0)",7
82,1,"(0.0, 2.5)",32
82,2,"(0.0, 5.0)",69
82,3,"(0.0, 7.5)",20
82,4,"(0.0, 10.0)",7
82,5,"(2.5, 0.0)",20
82,6,"(2.5, 2.5)",138
82,7,"(2.5, 5.0)",159
82,8,"(2.5, 7.5)",122
82,9,"(2.5, 10.0)",25
82,10,"(5.0, 0.0)",69
82,11,"(5.0, 2.5)",163
82,12,"(5.0, 5.0)",192
82,13,"(5.0, 7.5)",149
82,14,"(5.0, 10.0)",59
82,15,"(7.5, 0.0)",37
82,16,"(7.5, 2.5)",136
82,17,"(7.5, 5.0)",155
82,18,"(7.5, 7.5)",141
82,19,"(7.5, 10.0)",31
82,20,"(10.0, 0.0)",6
82,21,"(10.0, 2.5)",28
82,22,"(10.0, 5.0)",60
82,23,"(10.0, 7.5)",25
82,24,"(10.0, 10.0)",8
83,0,"(0.0, 0.0)",9
83,1,"(0.0, 2.5)",26
83,2,"(0.0, 5.0)",72
83,3,"(0.0, 7.5)",20
83,4,"(0.0, 10.0)",4
83,5,"(2.5, 0.0)",25
83,6,"(2.5, 2.5)",138
83,7,"(2.5, 5.0)",159
83,8,"(2.5, 7.5)",119
83,9,"(2.5, 10.0)",25
83,10,"(5.0, 0.0)",67
83,11,"(5.0, 2.5)",159
83,12,"(5.0, 5.0)",192
83,13,"(5.0, 7.5)",147
83,14,"(5.0, 10.0)",70
83,15,"(7.5, 0.0)",28
83,16,"(7.5, 2.5)",132
83,17,"(7.5, 5.0)",149
83,18,"(7.5, 7.5)",124
83,19,"(7.5, 10.0)",34
83,20,"(10.0, 0.0)",7
83,21,"(10.0, 2.5)",18
83,22,"(10.0, 5.0)",73
