,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
10,445158.0781816737,444853.53227705753,444605.8682598507,444421.19752108655,444294.2357655995,444213.50983308564,555192.9310154987,666180.2319905766,777221.9771331417,888276.712736894,888326.2187949464,860652.2129173436,833024.4428627144,805454.3817913622,777947.313998453,844870.0162473477,911828.3165128571,978785.7258031669,1045695.7557453681,1112511.904072738,946043.0988606631,779433.1223513426,612694.7395075544,445862.47504893463
11,445394.61223703687,445088.286427573,444839.17386111984,444653.42152956396,444525.71435499104,444444.512342185,555481.2547887044,666525.9229302589,777625.3523943861,888737.8479933867,888787.636615095,861099.7058608439,833458.2802683603,805874.8998328593,778354.8796322553,845313.9240826556,912308.773919762,979302.7275914475,1046249.025914822,1113100.8957322475,946546.0959630234,779849.3025275657,613023.3547487351,446102.978463956
12,445611.4806491456,445303.44134919357,445052.93428383966,444866.14071743184,444737.71593791764,444656.0556090097,555745.2705300805,666842.4553357812,777994.7067849964,889160.0972191254,889210.1578610692,861509.4992992237,833855.6051879835,806260.0798636378,778728.268038238,845720.6726759995,912749.082332868,979776.5908277589,1046756.1782726524,1113640.8107268629,947007.2900572467,780230.9840378183,613324.8035768939,446323.6681252875
13,445842.94978016685,445533.1704239828,445281.2472395899,445093.396295154,444964.2427850409,444882.11703435483,556027.4275612019,667180.7528473837,778389.4548316787,889611.3697803866,889661.7066599347,861947.420559022,834280.1622175364,806671.6013103736,779127.1126431676,846155.0804431888,913219.2559897954,980282.5253004013,1047297.6037399165,1114217.1925414628,947499.5160856472,780638.2503222777,613646.3788549762,446559.0177497058
14,446081.0476695932,445769.6345201534,445516.38169727323,445327.5379475132,445197.7002094333,445115.13745967345,556318.3089759118,667529.5373857501,778796.4336136682,890076.6122676668,890127.2085153467,862398.8293241268,834717.725121227,807095.6269300081,779537.9378119081,846602.4116196992,913703.2835212497,980803.2444226411,1047854.7611094721,1114810.2861612635,948005.806599706,781056.9828695081,613976.8668301905,446800.7591558334
15,446318.1654630306,446005.0255402305,445750.36740838044,445560.4743521805,445429.9134463305,445346.88882763055,556607.5816395007,667876.3758771208,779201.1456205907,890539.2712049107,890590.1415815109,862847.7754030931,835152.9455118261,807517.4477709082,779946.7151056406,847047.5929415227,914185.0700511046,981321.6311252367,1048409.480223419,1115400.8071205511,948510.0333324956,781474.1175551405,614306.1837883858,447041.7278205806
16,446551.48649632564,446236.5268200617,445980.38770875864,445789.3888450025,445658.06583157956,445574.55447407364,556891.7247217778,668217.0433252666,779598.6616901791,890993.7132638145,891044.872530122,863288.8015091252,835580.5421440451,807931.9586292981,780348.5153620978,847485.2727467694,914658.8414178466,981831.488747053,1048955.1419209985,1115981.7137589452,949006.2108726937,781884.7252169083,614630.456816351,447279.1070797947
17,446775.9125162027,446459.17293509055,446201.5852745415,446009.5048179937,445877.4363854845,445793.4489476865,557164.9134506254,668544.5722117192,779980.847889322,891430.6324493343,891482.0742792976,863712.8351338702,835991.6769831539,808330.5308564759,780734.8919337993,847906.1753146531,915114.4773520044,982321.8528572633,1049479.9582070592,1116540.4353297378,949483.4783996444,782279.7163310291,614942.423508738,447507.5024593295
18,446999.3552433323,446680.88888886006,446421.8959193413,446228.76615635335,446095.97455607407,446011.5252493362,557437.0922813301,668870.8981036288,780361.6285302064,891865.9412539633,891917.6572128473,864135.2857718663,836401.2566244258,808727.5656396945,781119.7378614935,848325.3740104923,915568.2299959287,982810.1544139828,1050002.5409151835,1117096.7686232573,949958.6456165315,782672.9196506231,615252.9372507598,447734.79605776945
19,447228.5096787353,446908.2368536714,446647.7737147683,446453.54621581256,446319.9980707894,446235.0655780837,557716.0819206898,669205.3836410817,780751.931854496,892312.139168234,892364.1419081416,864568.3196302188,836821.1130046132,809134.5857329407,781514.2941012149,848755.1783757883,916033.4929519666,983310.8706930743,1050538.4303977208,1117667.2762555687,950445.966432964,783076.2190080248,615571.455975914,447967.9790970043
20,447457.78006811533,447135.6742067154,446873.71927829034,446678.37790019024,446544.0620847653,446458.63930041523,557995.1068936253,669539.9071372102,781142.2804962207,892758.3908881556,892810.6846264557,865001.4170779281,837241.0425604753,809541.6936056982,781908.9582012455,849185.1208615516,916498.9273837074,983811.7917256382,1051074.5537920946,1118238.0387955257,950933.5390580854,783479.7548009951,615890.1845992056,448201.3373343903
21,447677.3597379632,447353.50053745904,447090.118679926,446893.71185220993,446758.6617433569,446672.76998439105,558262.3472938318,669860.3024709076,781516.1431848368,893185.795475919,893238.367560507,865416.2219709655,837643.2347313116,809931.60421052,782286.9487195457,849596.897556467,916944.6945302545,984291.5442110611,1051588.0197355964,1118784.6794685426,951400.5026847363,783866.2312864559,616195.4370988833,448424.82711972203
22,447905.4430575119,447579.6711234398,447314.7326159707,447117.1634795827,446981.3123233537,446894.9089557159,558539.5596027919,670192.637445423,781903.9416482833,893629.1387492726,893682.0144843564,865846.5362564545,838060.5058171437,810336.1933579913,782679.2502699203,850024.3380332886,917407.4967789941,984789.7026541673,1052121.2377758378,1119352.369402031,951885.5690059316,784267.7902555505,616512.6848854129,448657.1760197987
